DIA,MES,HORA,MIN,Vlo_change,Emp_change,temporada_alta,periodo_dia,DIANOM,MESNOM,Des_I,TIPOVUELO,OPERA,atraso_15
1,1,0,15,0,0,1,noche,Domingo,Ene,MMMX,I,Aeromexico,0
1,1,1,15,0,0,1,noche,Domingo,Ene,SKBO,I,Grupo LATAM,0
1,1,1,23,0,0,1,noche,Domingo,Ene,MPTO,I,Copa Air,0
1,1,1,33,0,0,1,noche,Domingo,Ene,SKBO,I,Avianca,0
1,1,1,42,0,0,1,noche,Domingo,Ene,MPTO,I,Copa Air,0
1,1,2,5,0,0,1,noche,Domingo,Ene,SBGL,I,Gol Trans,0
1,1,3,20,0,0,1,noche,Domingo,Ene,MPTO,I,Copa Air,0
1,1,5,15,0,1,1,mañana,Domingo,Ene,SPJC,I,Grupo LATAM,0
1,1,5,50,0,0,1,mañana,Domingo,Ene,SPJC,I,Sky Airline,0
1,1,5,51,0,0,1,mañana,Domingo,Ene,MPTO,I,Copa Air,0
1,1,6,5,0,0,1,mañana,Domingo,Ene,SCCF,N,Sky Airline,0
1,1,6,10,0,0,1,mañana,Domingo,Ene,SBGR,I,Gol Trans,0
1,1,6,40,0,0,1,mañana,Domingo,Ene,SCAR,N,Sky Airline,0
1,1,6,45,0,0,1,mañana,Domingo,Ene,SLLP,I,Grupo LATAM,0
1,1,7,0,0,0,1,mañana,Domingo,Ene,SCIE,N,Sky Airline,0
1,1,7,0,0,0,1,mañana,Domingo,Ene,SCTE,N,Sky Airline,0
1,1,7,5,0,1,1,mañana,Domingo,Ene,SCCI,N,Grupo LATAM,0
1,1,7,14,0,1,1,mañana,Domingo,Ene,SPJC,I,Avianca,0
1,1,7,35,0,1,1,mañana,Domingo,Ene,SPJC,I,Grupo LATAM,1
1,1,7,35,0,0,1,mañana,Domingo,Ene,SAEZ,I,Sky Airline,0
1,1,7,35,0,0,1,mañana,Domingo,Ene,SCCF,N,Grupo LATAM,0
1,1,7,40,0,1,1,mañana,Domingo,Ene,SCBA,N,Grupo LATAM,0
1,1,7,45,0,1,1,mañana,Domingo,Ene,SCTE,N,Grupo LATAM,0
1,1,7,45,0,0,1,mañana,Domingo,Ene,SCDA,N,Sky Airline,0
1,1,7,50,0,0,1,mañana,Domingo,Ene,SBGL,I,Grupo LATAM,1
1,1,7,53,0,0,1,mañana,Domingo,Ene,SKBO,I,Avianca,0
1,1,8,0,0,0,1,mañana,Domingo,Ene,SABE,I,Grupo LATAM,0
1,1,8,10,0,0,1,mañana,Domingo,Ene,SCCI,N,Sky Airline,0
1,1,8,15,0,1,1,mañana,Domingo,Ene,SCQP,N,Grupo LATAM,0
1,1,8,20,0,0,1,mañana,Domingo,Ene,SKBO,I,Grupo LATAM,0
1,1,8,30,0,0,1,mañana,Domingo,Ene,SBGR,I,Grupo LATAM,0
1,1,8,30,0,0,1,mañana,Domingo,Ene,SCQP,N,Sky Airline,0
1,1,8,40,0,0,1,mañana,Domingo,Ene,SBGR,I,Grupo LATAM,1
1,1,9,0,0,1,1,mañana,Domingo,Ene,SCSE,N,Grupo LATAM,0
1,1,9,5,0,0,1,mañana,Domingo,Ene,MDPC,I,Grupo LATAM,1
1,1,9,5,0,0,1,mañana,Domingo,Ene,SCFA,N,Grupo LATAM,0
1,1,9,10,0,0,1,mañana,Domingo,Ene,SAME,I,Grupo LATAM,0
1,1,9,15,0,0,1,mañana,Domingo,Ene,SCCF,N,Grupo LATAM,0
1,1,9,15,0,0,1,mañana,Domingo,Ene,SPJC,I,Grupo LATAM,0
1,1,9,20,0,0,1,mañana,Domingo,Ene,SAEZ,I,Grupo LATAM,0
1,1,9,30,0,1,1,mañana,Domingo,Ene,SCQP,N,Grupo LATAM,0
1,1,9,30,0,0,1,mañana,Domingo,Ene,SACO,I,Grupo LATAM,0
1,1,9,35,0,1,1,mañana,Domingo,Ene,SCTE,N,Grupo LATAM,0
1,1,9,35,0,0,1,mañana,Domingo,Ene,SCIP,N,Grupo LATAM,0
1,1,9,40,0,1,1,mañana,Domingo,Ene,SCCI,N,Grupo LATAM,0
1,1,9,45,0,0,1,mañana,Domingo,Ene,SCAT,N,Grupo LATAM,0
1,1,9,50,0,1,1,mañana,Domingo,Ene,SCJO,N,Grupo LATAM,0
1,1,10,0,0,0,1,mañana,Domingo,Ene,SBGR,I,Grupo LATAM,0
1,1,10,5,0,0,1,mañana,Domingo,Ene,SUMU,I,Grupo LATAM,0
1,1,10,10,0,0,1,mañana,Domingo,Ene,SCFA,N,Sky Airline,0
1,1,10,30,0,1,1,mañana,Domingo,Ene,SCBA,N,Grupo LATAM,0
1,1,10,35,0,0,1,mañana,Domingo,Ene,SABE,I,Aerolineas Argentinas,0
1,1,10,35,0,0,1,mañana,Domingo,Ene,SCPQ,N,Grupo LATAM,0
1,1,11,0,0,1,1,mañana,Domingo,Ene,SPJC,I,Latin American Wings,0
1,1,11,20,0,0,1,mañana,Domingo,Ene,SCVD,N,Sky Airline,0
1,1,11,25,0,0,1,mañana,Domingo,Ene,SCAR,N,Sky Airline,0
1,1,11,25,0,0,1,mañana,Domingo,Ene,SAME,I,Grupo LATAM,0
1,1,11,30,0,0,1,mañana,Domingo,Ene,SCTE,N,Sky Airline,0
1,1,11,35,0,0,1,mañana,Domingo,Ene,SCSE,N,Sky Airline,0
1,1,11,45,0,0,1,mañana,Domingo,Ene,SBFL,I,Grupo LATAM,0
1,1,11,50,0,1,1,mañana,Domingo,Ene,SCCF,N,Grupo LATAM,0
1,1,12,0,0,1,1,tarde,Domingo,Ene,SCCI,N,Grupo LATAM,0
1,1,12,8,0,0,1,tarde,Domingo,Ene,MPTO,I,Copa Air,0
1,1,12,15,0,0,1,tarde,Domingo,Ene,SCDA,N,Sky Airline,0
1,1,12,15,0,0,1,tarde,Domingo,Ene,SBGL,I,Grupo LATAM,0
1,1,12,20,0,1,1,tarde,Domingo,Ene,SCIE,N,Grupo LATAM,0
1,1,12,30,0,0,1,tarde,Domingo,Ene,SBGR,I,Grupo LATAM,0
1,1,12,45,0,0,1,tarde,Domingo,Ene,LIRF,I,Alitalia,1
1,1,12,45,0,0,1,tarde,Domingo,Ene,SCCF,N,Grupo LATAM,0
1,1,12,50,0,1,1,tarde,Domingo,Ene,SCTE,N,Grupo LATAM,0
1,1,13,5,0,0,1,tarde,Domingo,Ene,SAEZ,I,Sky Airline,0
1,1,13,15,0,0,1,tarde,Domingo,Ene,SBGL,I,Grupo LATAM,0
1,1,13,25,0,0,1,tarde,Domingo,Ene,SBGL,I,Grupo LATAM,0
1,1,13,30,0,0,1,tarde,Domingo,Ene,SCTE,N,Sky Airline,0
1,1,13,35,0,0,1,tarde,Domingo,Ene,SCQP,N,Sky Airline,0
1,1,13,35,0,1,1,tarde,Domingo,Ene,YSSY,I,Qantas Airways,1
1,1,13,35,0,1,1,tarde,Domingo,Ene,SCIE,N,Grupo LATAM,0
1,1,13,35,0,0,1,tarde,Domingo,Ene,SAEZ,I,Air Canada,1
1,1,13,40,0,0,1,tarde,Domingo,Ene,LEMD,I,Iberia,0
1,1,13,40,0,1,1,tarde,Domingo,Ene,SABE,I,Grupo LATAM,0
1,1,13,45,0,1,1,tarde,Domingo,Ene,SCTE,N,Grupo LATAM,0
1,1,14,0,0,1,1,tarde,Domingo,Ene,SCAR,N,Grupo LATAM,0
1,1,14,0,0,1,1,tarde,Domingo,Ene,SCSE,N,Grupo LATAM,0
1,1,14,10,0,1,1,tarde,Domingo,Ene,SCFA,N,Grupo LATAM,0
1,1,14,10,0,0,1,tarde,Domingo,Ene,SCFA,N,Sky Airline,0
1,1,14,20,0,0,1,tarde,Domingo,Ene,SCFA,N,Grupo LATAM,0
1,1,14,20,0,0,1,tarde,Domingo,Ene,SBGR,I,Gol Trans,0
1,1,14,25,0,0,1,tarde,Domingo,Ene,LFPG,I,Air France,0
1,1,14,35,0,0,1,tarde,Domingo,Ene,SCTE,N,Grupo LATAM,0
1,1,14,45,0,1,1,tarde,Domingo,Ene,SCCF,N,Grupo LATAM,0
1,1,14,50,0,1,1,tarde,Domingo,Ene,SCIE,N,Grupo LATAM,0
1,1,15,0,0,0,1,tarde,Domingo,Ene,SCCF,N,Sky Airline,0
1,1,15,5,0,0,1,tarde,Domingo,Ene,SPJC,I,Grupo LATAM,0
1,1,15,10,0,0,1,tarde,Domingo,Ene,SPJC,I,Sky Airline,0
1,1,15,15,0,0,1,tarde,Domingo,Ene,SCQP,N,Grupo LATAM,0
1,1,15,15,0,0,1,tarde,Domingo,Ene,SCIE,N,Sky Airline,0
1,1,15,20,0,0,1,tarde,Domingo,Ene,SAME,I,Grupo LATAM,0
1,1,15,25,0,0,1,tarde,Domingo,Ene,SCVD,N,Sky Airline,0
1,1,15,30,0,0,1,tarde,Domingo,Ene,SCFA,N,Grupo LATAM,0
1,1,15,35,0,1,1,tarde,Domingo,Ene,SCAT,N,Grupo LATAM,0
1,1,15,35,0,0,1,tarde,Domingo,Ene,SAEZ,I,Grupo LATAM,0
1,1,16,5,0,0,1,tarde,Domingo,Ene,SBGR,I,Grupo LATAM,0
1,1,16,5,0,1,1,tarde,Domingo,Ene,SCQP,N,Grupo LATAM,0
1,1,16,10,0,1,1,tarde,Domingo,Ene,SCIE,N,Grupo LATAM,0
1,1,16,15,0,0,1,tarde,Domingo,Ene,SCFA,N,Sky Airline,0
1,1,16,16,0,0,1,tarde,Domingo,Ene,SKBO,I,Avianca,1
1,1,16,20,0,0,1,tarde,Domingo,Ene,SPJC,I,Grupo LATAM,0
